Cell line,Tissue,IC50
NCIH716,large_intestine,7.941736864383868
NCIH596,lung_NSCLC,472.87732515422516
NCIH441,lung_NSCLC,132.077384893153
NCIN87,digestive_system,55.06118381844794
NCIH2452,lung,23.021763323709713
NCIH1793,lung_NSCLC,419.4095966243887
NCIH358,lung_NSCLC,21.952213999160726
NCIH1155,lung_NSCLC,132.6920460228143
NCIH1105,lung_SCLC,156.71940859683727
NCIH1436,lung_SCLC,85.22493028393592
NCIH28,lung,12.641132737347753
NCIH1581,lung_NSCLC,26.762883939832378
NCIH1573,lung_NSCLC,80.34669831089134
NCIH1666,lung_NSCLC,39.1072941209154
NCIH1703,lung_NSCLC,16.477700796949037
NCIH1755,lung_NSCLC,8.81316829361912
NCIH1993,lung_NSCLC,11.290323145180349
NCIH2081,lung_SCLC,97.22228940072091
NCIH2196,lung_SCLC,230.95433338399965
NCIH524,lung_SCLC,26.399788532827007
NCIH748,lung_SCLC,88.19277115852867
ONS76,nervous_system,24.22502040286489
OPM2,myeloma,5.816763456919729
OSRC2,kidney,115.28357930459617
P12ICHIKAWA,leukemia,0.8422772865587584
P30OHK,leukemia,6.3926570772686935
P31FUJ,leukemia,14.389733486727453
PA1,urogenital_system,11.741305391513606
OCUBM,breast,74.961976126802
OC314,urogenital_system,9.426520060890628
PF382,leukemia,3.362332736840024
RAJI,lymphoma,5.4637261387883065
RCM1,large_intestine,43.446530581660966
RD,soft_tissue,38.93571683775668
REH,leukemia,4.224251139455169
RF48,digestive_system,41.63740825104549
RKO,large_intestine,17.87129867489553
RMGI,urogenital_system,91.41439860276174
RPMI6666,lymphoma,5.083037418821327
RPMI8402,leukemia,0.21418781685793623
RS411,leukemia,1.7638131007226392
RT112,urogenital_system,31.684259125420795
RVH421,skin,124.86847707890169
SAOS2,bone,83.69506372919841
SAS,aero_dig_tract,11.471365801120102
SCC9,aero_dig_tract,114.19688269980486
SCH,digestive_system,11.663683032000714
SF126,nervous_system,49.656385872746
SH4,skin,16.256697862364483
SIGM5,leukemia,0.29338603838656957
SJRH30,soft_tissue,33.47420023900584
SJSA1,bone,30.91037845990509
SKCO1,large_intestine,8.037113489425096
SKHEP1,digestive_system,24.965578097417225
SKLMS1,soft_tissue,59.819578078956134
SKLU1,lung_NSCLC,42.17623876407118
SKM1,leukemia,2.076490065863637
SKMEL1,skin,53.32983869765874
SKMEL3,skin,15.741790637195928
SKMEL24,skin,33.74401269664068
SKMEL30,skin,17.57077481544717
SKMEL31,skin,107.81286578410202
SKMES1,lung_NSCLC,53.3182673781949
SKMG1,nervous_system,68.75599962418588
SKPNDW,bone,40.75391872116969
SKUT1,soft_tissue,121.48526746542885
SNGM,urogenital_system,50.46802664380563
SNU387,digestive_system,56.188044334110245
SNU423,digestive_system,110.30806032807749
SNU449,digestive_system,148.9884818593427
SNUC2B,large_intestine,87.58291984560209
SUDHL1,lymphoma,6.96496791070465
SUPT1,leukemia,5.607309418824639
